run_name,num_hashes,bands,rows_per_band,top_k,num_candidates,candidate_ratio,signature_seconds,candidate_seconds,verification_seconds,total_seconds,verified_pairs,recall_at_k,signature_mae,signature_corr,speedup_vs_baseline
k60_b20_r3,60,20,3,10,1304,2.3187038943112004e-05,0.0688621670124121,0.2659022079897113,0.09976749995257705,0.43453187495470047,1304,0.01829978688136396,0.014565549850923868,0.9633424534850112,1.473153630159676
k60_b30_r2,60,30,2,10,24365,0.0004332455550988681,0.07565112499287352,0.38843395799631253,0.6611465419991873,1.1252316249883734,24365,0.18312100402557424,0.014565549850923868,0.9633424534850112,0.5688892800326525
k60_b60_r1,60,60,1,10,435550,0.0077447199476015595,0.07298066699877381,1.1857091669808142,1.2994994159671478,2.558189249946736,435550,0.9316978451337912,0.014565549850923868,0.9633424534850112,0.25022863692470587
k100_b20_r5,100,20,5,10,113,2.009306288781945e-06,0.10445050004636869,0.3074445420061238,0.02581591601483524,0.43771095806732774,113,0.0021217144210277056,0.010135501978667145,0.9828842516791316,1.462454154303223
k100_b25_r4,100,25,4,10,280,4.97881204299951e-06,0.10075566696468741,0.3735082920175046,0.02466087497305125,0.49892483395524323,280,0.004404451811508407,0.010135501978667145,0.9828842516791316,1.283023344288032
k100_b50_r2,100,50,2,10,35643,0.0006337849916022555,0.10150604095542803,0.681519792007748,0.8124994579702616,1.5955252909334376,35643,0.27175941273975845,0.010135501978667145,0.9828842516791316,0.4012046770096059
k100_b100_r1,100,100,1,10,532763,0.009473310144516243,0.1025478329975158,1.9290572499739937,1.3902403329848312,3.4218454159563407,532763,0.9551598389770305,0.010135501978667145,0.9828842516791316,0.18707221723828296
k120_b20_r6,120,20,6,10,85,1.5114250844819941e-06,0.11806770804105327,0.32726716698380187,0.025752833986189216,0.47108770901104435,85,0.0016007577551503671,0.00955082442322361,0.9835357043915182,1.3588386976884592
k120_b30_r4,120,30,4,10,264,4.694308497685252e-06,0.11596670799190179,0.4477080840151757,0.025092999974731356,0.5887677919818088,264,0.00452758702344305,0.00955082442322361,0.9835357043915182,1.0872405347699208
k120_b60_r2,120,60,2,10,49222,0.0008752395942161496,0.12003887497121468,0.8154180829878896,0.8550016670487821,1.7904586250078864,49222,0.311977267345489,0.00955082442322361,0.9835357043915182,0.35752415614004357
k120_b120_r1,120,120,1,10,560653,0.009969235386942159,0.11923537502298132,2.300135749974288,1.4021546670119278,3.821525792009197,560653,0.9586739284868577,0.00955082442322361,0.9835357043915182,0.16750697073617102
k200_b20_r10,200,20,10,10,77,1.3691733118248653e-06,0.18078312504803762,0.40508933301316574,0.010516542010009289,0.5963890000712126,77,0.0014586786644565474,0.008057187372088177,0.9899156148840502,1.0733467735541258
k200_b25_r8,200,25,8,10,80,1.4225177265712886e-06,0.18080279103014618,0.48089674999937415,0.010277334018610418,0.6719768750481308,80,0.0015155103007340753,0.008057187372088177,0.9899156148840502,0.952610473334752
k200_b50_r4,200,50,4,10,493,8.766265489995567e-06,0.2135917919804342,0.7389217090094462,0.04034175002016127,0.9928552510100417,493,0.007776462230641724,0.008057187372088177,0.9899156148840502,0.6447387052225331
k200_b100_r2,200,100,2,10,73857,0.0013132861466421959,0.18413145904196426,1.394908917020075,0.9764512499677949,2.555491626029834,73857,0.4479469571394743,0.008057187372088177,0.9899156148840502,0.2504927828717268
k200_b200_r1,200,200,1,10,638841,0.011359533087006608,0.18402987497393042,3.800572915992234,1.4767922500032,5.461395040969364,638841,0.9633057068434762,0.008057187372088177,0.9899156148840502,0.11721038383189138
