subset_size,num_items_total,top_k,num_hashes,bands,rows_per_band,seed,naive_time_seconds,naive_pairs_evaluated,sparse_exact_time_seconds,sparse_exact_nonzero_pairs,lsh_time_seconds,lsh_signature_seconds,lsh_candidate_seconds,lsh_verification_seconds,lsh_num_candidates,lsh_candidate_ratio,lsh_recall_at_k,speedup_lsh_vs_naive,speedup_lsh_vs_sparse_exact
300,3533,10,100,50,2,42,0.07256487500853837,44850,0.02495658298721537,27700,0.051130043022567406,0.013713208987610415,0.013364375015953556,0.024052459019003436,1699,0.037881828316610924,0.33985825177185286,1.4192218648537067,0.48810017578510967
500,3533,10,100,50,2,42,0.1955591669830028,124750,0.07084912501159124,77487,0.09506825002608821,0.022635708010056987,0.023766166996210814,0.04866637501982041,5064,0.04059318637274549,0.40185409109230147,2.057039725979371,0.7452448634759674
800,3533,10,100,50,2,42,0.46378462499706075,319600,0.15184608299750835,198404,0.16787849899264984,0.035981916007585824,0.040092832990922034,0.09180374999414198,12333,0.03858886107634543,0.44732210208700024,2.762620751197963,0.9044998847896333
1000,3533,10,100,50,2,42,0.666056165995542,499500,0.23089412500848994,305927,0.20039516797987744,0.03735870899981819,0.05057408398715779,0.11246237499290146,17630,0.03529529529529529,0.44856999498243855,3.3237137038275475,1.1521940740191652
1200,3533,10,100,50,2,42,1.0527541659830604,719400,0.3434680000063963,454150,0.27261441698647104,0.05058883299352601,0.06623349999426864,0.1557920839986764,28064,0.03901028634973589,0.47934573979804723,3.861696595581389,1.2599040204958842
1500,3533,10,100,50,2,42,1.5192049580218736,1124250,0.5225505830021575,698773,0.3652039589942433,0.06386912500602193,0.09625850000884384,0.20507633397937752,39996,0.03557571714476317,0.48887998397114807,4.159880857276853,1.4308458879833623
1800,3533,10,100,50,2,42,2.26200908300234,1619100,0.7642574580095243,1013087,0.4799355829891283,0.07843720799428411,0.10832637498970143,0.29317200000514276,61968,0.038273114693348154,0.5168558077436582,4.713151437770306,1.5924167432003817
2200,3533,10,100,50,2,42,3.441490541998064,2418900,1.148909209005069,1532188,0.6203957069956232,0.0914155830105301,0.15627895799116232,0.37270116599393077,92232,0.03812972838893712,0.5394168220897967,5.54725073560566,1.851897419743387
2600,3533,10,100,50,2,42,5.066468250006437,3378700,1.6284573750162963,2107828,0.814268499991158,0.10782787500647828,0.19932608300587162,0.5071145419788081,128015,0.03788883298310001,0.5569576424421959,6.222110090297553,1.9999022128867558
3000,3533,10,100,50,2,42,6.490789333009161,4498500,2.099119332997361,2808716,0.97511020701495,0.1155785410082899,0.2566745830117725,0.6028570829948876,167680,0.03727464710459042,0.5650071692954083,6.65646742933709,2.1526995799000783
